32 89
40 37
13 83
45 1
44 68
2 42
70 27
74 28
64 39
79 46
15 11
57 54
45 17
37 25
48 55
51 80
44 92
69 9
75 66
10 72
34 12
14 56
91 41
36 7
32 15
5 48
26 62
54 24
31 91
49 79
99 0
11 95
44 80
5 72
46 67
44 32
80 10
88 23
3 24
83 36
91 88
36 70
3 90
46 34
34 47
14 33
99 25
80 44
58 85
68 56
53 64
89 85
26 77
8 30
54 91
66 97
32 2
19 35
44 65
69 78
12 35
63 64
13 44
60 71
81 28
79 34
44 68
19 70
98 80
0 52
23 18
1 55
72 21
42 17
38 64
47 3
99 63
67 64
59 27
87 40
7 67
75 51
35 46
21 33
26 74
37 2
92 91
57 17
64 0
86 2
64 33
5 15
48 24
32 7
51 19
48 10
86 75
61 74
73 35
7 52
9 97
54 53
40 11
22 4
63 8
6 79
94 64
47 42
40 79
50 92
98 50
54 37
77 16
11 50
51 70
2 12
19 56
17 59
20 40
63 35
48 22
67 42
38 14
37 78
45 87
22 95
89 77
32 66
93 95
16 96
66 19
60 85
27 77
97 47
69 60
83 18
34 50
12 72
16 49
51 61
88 73
56 29
50 41
95 95
36 64
91 2
35 3
40 62
33 89
62 2
49 97
72 36
47 85
8 15
86 11
76 27
37 84
56 87
25 4
35 62
68 78
16 55
82 8
69 15
97 31
17 99
28 42
35 27
27 95
42 65
59 70
92 96
55 49
83 32
5 70
46 25
49 15
80 31
23 49
98 73
33 67
72 13
9 59
41 88
6 35
54 65
6 98
61 13
47 97
45 4
67 92
29 68
7 9
51 82
11 49
55 44
17 79
57 26
90 50
15 97
86 21
14 44
19 28
57 19
25 54
23 44
98 53
65 57
62 16
40 25
66 47
21 83
27 79
61 69
81 28
18 19
49 33
63 69
61 20
88 38
27 11
34 25
16 99
83 31
16 23
56 82
22 78
17 49
9 30
71 90
59 89
62 8
22 25
29 35
98 69
73 25
33 60
50 49
59 33
80 75
8 89
9 31
67 78
32 28
61 3
70 20
93 32
80 67
58 62
3 56
31 28
33 64
88 83
66 0
69 46
27 77
87 89
8 54
19 41
82 80
96 53
52 89
85 33
9 95
95 64
3 78
44 36
43 85
72 9
85 41
7 12
18 95
53 79
1 73
72 36
53 68
41 6
10 78
91 19
74 38
83 77
16 79
66 11
64 38
72 49
79 80
14 49
27 67
28 28
92 0
16 46
21 57
4 31
36 95
2 10
85 37
39 1
16 5
65 81
95 37
30 74
69 96
76 96
16 4
77 8
57 93
6 30
51 10
61 87
57 63
49 94
0 40
48 68
98 13
49 93
50 32
20 20
28 96
68 44
52 45
5 61
39 11
91 90
74 52
29 83
67 78
78 19
18 26
88 68
91 89
62 41
21 82
13 50
30 82
46 82
27 3
96 66
67 87
8 41
92 37
76 11
67 6
31 86
32 71
6 75
60 68
69 82
2 82
84 84
16 82
67 44
86 63
62 53
2 71
46 94
60 22
6 28
29 89
66 13
60 72
89 72
93 58
54 95
92 90
80 9
73 99
5 59
14 67
64 16
90 10
63 3
32 69
31 61
10 97
27 70
69 16
42 62
26 49
10 18
39 42
27 64
93 84
23 7
4 87
75 94
97 38
97 82
59 80
95 69
77 22
91 99
90 86
13 16
35 75
87 26
17 66
91 10
51 66
69 55
6 97
1 55
35 51
37 47
31 33
68 61
7 60
60 98
46 25
66 33
1 5
11 70
72 2
33 23
21 54
30 27
51 31
82 39
82 72
86 66
5 54
27 64
66 39
14 12
64 33
97 17
38 9
40 10
63 25
85 84
79 15
11 31
99 46
22 33
18 8
99 75
14 78
39 81
17 6
93 34
39 43
3 77
4 95
88 67
20 25
52 52
93 15
35 92
61 57
77 31
65 29
6 79
7 46
12 77
4 58
11 43
1 66
20 5
62 60
24 34
86 28
38 79
44 73
23 57
82 52
89 99
81 47
79 89
45 43
66 49
1 29
92 2
95 13
59 9
25 84
44 11
12 82
42 56
8 17
66 90
70 7
90 51
54 21
92 52
64 58
1 66
39 94
20 35
59 80
44 84
64 40
48 76
75 42
85 83
60 3
